,Country,Food Safety IHR (%),Status,Life Expectancy (in age),Adult Mortality (%),Hepatitis B (%),GDP (USD),Schooling (Yrs)
85,Kenya,40,Developing,63.4,24.9,89.0,1349.97144,11.1
86,Kiribati,40,Developing,66.3,19.8,82.0,1424.483611,11.9
87,Kuwait,80,Developing,74.7,8.1,99.0,28975.418,13.3
88,Kyrgyzstan,40,Developing,71.1,16.6,97.0,,13.0
89,Lao People's Democratic Republic,40,Developing,65.7,19.4,89.0,,10.8
90,Latvia,80,Developed,74.6,15.3,94.0,13666.58336,16.0
91,Lebanon,40,Developing,74.9,9.8,81.0,846.632851,13.3
92,Lesotho,60,Developing,53.7,48.4,93.0,173.82893,10.7
93,Liberia,40,Developing,61.4,25.9,52.0,452.38717,9.9
94,Libya,40,Developing,72.7,13.8,97.0,,13.4
95,Lithuania,100,Developed,73.6,16.5,94.0,14252.42853,16.5
96,Luxembourg,80,Developed,82.0,6.3,94.0,1199.8223,13.9
97,Madagascar,60,Developing,65.5,2.2,69.0,41.8575951,10.3
98,Malawi,60,Developing,58.3,36.5,88.0,362.6575444,10.8
99,Malaysia,80,Developing,75.0,12.3,99.0,9643.644683,13.1
100,Maldives,40,Developing,78.5,6.1,99.0,8395.785198,12.7
101,Mali,40,Developing,58.2,26.6,64.0,729.725338,8.4
102,Malta,60,Developed,81.7,5.4,95.0,23819.4636,14.6
103,Mauritania,40,Developing,63.1,2.5,73.0,1158.256469,8.5
104,Mauritius,40,Developing,74.6,14.6,97.0,9252.11724,15.2
105,Mexico,80,Developing,76.7,12.2,82.0,9143.128494,13.3
106,Micronesia (Federated States of),40,Developing,69.4,16.6,78.0,,11.7
107,Mongolia,40,Developing,68.8,22.2,99.0,3944.1839,14.8
108,Montenegro,80,Developing,76.1,1.6,82.0,6461.192554,15.1
109,Morocco,80,Developing,74.3,9.5,99.0,2847.285569,12.1
110,Mozambique,40,Developing,57.6,35.5,8.0,528.3125597,9.1
111,Myanmar,60,Developing,66.6,19.9,89.0,1194.59137,9.1
112,Namibia,60,Developing,65.8,24.8,92.0,4737.66996,11.7
113,Nepal,20,Developing,69.2,16.5,91.0,743.7653489,12.2
114,Netherlands,,Developed,81.9,5.7,94.0,44292.88473,18.1
115,New Zealand,80,Developed,81.6,6.6,92.0,3821.8937,19.2
116,Nicaragua,60,Developing,74.8,14.5,98.0,295.966488,11.7
117,Niger,20,Developing,61.8,2.2,65.0,358.99731,5.4
118,Nigeria,40,Developing,54.5,34.4,49.0,2655.157977,10.0
119,Norway,100,Developed,81.8,5.9,,7455.24654,17.7
120,Oman,80,Developing,76.6,9.9,99.0,16627.36433,13.7
121,Pakistan,20,Developing,66.4,16.1,72.0,1431.244865,8.1
122,Panama,80,Developing,77.8,11.8,73.0,13134.4367,13.0
123,Papua New Guinea,20,Developing,62.9,27.5,67.0,,10.0
124,Paraguay,60,Developing,74.0,14.6,93.0,419.367724,12.3
125,Peru,40,Developing,75.5,12.3,9.0,63.343259,13.4
126,Philippines,60,Developing,68.5,21.1,6.0,2878.33837,11.7
127,Poland,100,Developed,77.5,11.7,96.0,12565.9876,16.4
128,Portugal,80,Developed,81.1,7.6,98.0,1922.681,16.6
129,Qatar,100,Developing,78.2,6.8,99.0,66346.52267,13.4
130,Republic of Korea,100,Developing,82.3,6.4,98.0,,
131,Republic of Moldova,60,Developing,72.1,15.7,88.0,,
132,Romania,60,Developed,75.0,13.3,9.0,8958.788593,14.7
133,Russian Federation,100,Developing,75.0,22.2,97.0,9329.298351,15.0
134,Rwanda,40,Developing,66.1,22.7,98.0,71.348397,10.8
135,Saint Lucia,80,Developing,75.2,13.8,99.0,,13.1
136,Saint Vincent and the Grenadines,20,Developing,73.2,15.6,98.0,,13.3
137,Samoa,40,Developing,74.0,12.5,59.0,4149.363444,12.9
138,Sao Tome and Principe,20,Developing,67.5,1.9,96.0,1624.63963,11.2
139,Saudi Arabia,100,Developing,74.5,8.8,98.0,2732.86172,16.1
140,Senegal,40,Developing,66.7,18.8,89.0,98.7256145,9.5
141,Serbia,80,Developing,75.6,12.1,94.0,5237.255334,14.4
142,Seychelles,80,Developing,73.2,16.8,98.0,1539.464,14.1
143,Sierra Leone,60,Developing,51.0,41.3,86.0,587.538233,9.5
144,Singapore,80,Developed,83.1,5.5,96.0,53629.73746,15.4
145,Slovakia,40,Developed,76.7,1.9,96.0,,15.0
146,Slovenia,100,Developed,88.0,7.4,,2729.86383,17.3
147,Solomon Islands,60,Developing,69.2,17.7,98.0,1922.41388,9.6
148,Somalia,20,Developing,55.0,31.2,42.0,426.98537,
149,South Africa,80,Developing,62.9,32.8,75.0,5769.77258,13.0
150,South Sudan,40,Developing,57.3,33.2,31.0,758.725782,4.9
151,Spain,80,Developed,82.8,5.6,97.0,25683.84565,17.7
152,Sri Lanka,60,Developing,74.9,13.8,99.0,3844.89123,14.0
153,Sudan,40,Developing,64.1,22.5,93.0,2513.884661,7.2
154,Suriname,20,Developing,71.6,17.6,89.0,8818.982566,12.7
155,Swaziland,,Developing,58.9,37.3,9.0,3136.92511,11.4
156,Sweden,100,Developed,82.4,5.3,67.0,5585.25847,15.9
157,Switzerland,80,Developed,83.4,4.9,,8989.8424,16.0
158,Syrian Arab Republic,60,Developing,64.5,29.3,41.0,,9.0
159,Tajikistan,40,Developing,69.7,16.1,96.0,918.6771543,11.3
160,Thailand,80,Developing,74.9,14.8,99.0,5814.863134,13.6
161,The former Yugoslav republic of Macedonia,,Developing,75.7,1.2,92.0,,12.9
162,Timor-Leste,20,Developing,68.3,15.2,76.0,1161.76935,12.5
163,Togo,20,Developing,59.9,28.7,88.0,551.138346,12.0
164,Tonga,40,Developing,73.5,13.3,78.0,493.775387,14.3
165,Trinidad and Tobago,60,Developing,71.2,1.7,9.0,17321.83373,12.7
166,Tunisia,100,Developing,75.3,0.1,98.0,3828.91589,14.6
167,Turkey,,Developing,75.8,1.6,97.0,1979.52569,14.5
168,Turkmenistan,80,Developing,66.3,21.5,99.0,6432.668768,10.8
169,Uganda,40,Developing,62.3,29.1,78.0,693.8963829,10.0
170,Ukraine,80,Developing,71.3,19.5,22.0,2124.662666,15.3
171,United Arab Emirates,80,Developing,77.1,7.5,99.0,3911.74689,13.3
172,United Kingdom of Great Britain and Northern Ireland,100,Developed,81.2,6.9,,,
173,United Republic of Tanzania,80,Developing,61.8,27.9,98.0,,
174,United States of America,100,Developed,79.3,1.3,92.0,,
175,Uruguay,60,Developing,77.0,11.6,95.0,15524.84247,15.5
176,Uzbekistan,60,Developing,69.4,18.4,99.0,2137.576852,12.1
177,Vanuatu,40,Developing,72.0,1.3,64.0,285.83414,10.8
178,Venezuela (Bolivarian Republic of),80,Developing,74.1,15.7,87.0,,14.3
179,Viet Nam,40,Developing,76.0,12.7,97.0,,12.6
180,Yemen,40,Developing,65.7,22.4,69.0,,9.0
181,Zambia,80,Developing,61.8,3.3,9.0,1313.889646,12.5
182,Zimbabwe,80,Developing,67.0,33.6,87.0,118.69383,10.3
